ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
TUR,South,411865,Total wanted fertility rate,1.6,1,TR,Turkey,1993,TR1993DHS,PR_WTFR_W_WFR,22333010,I,450002,1450002,Region,South,0,,0,1,PRWTFRWWFR,TRDHS1993450002,1993,DHS,,,,,1
TUR,Central,411855,Total wanted fertility rate,1.7,1,TR,Turkey,1993,TR1993DHS,PR_WTFR_W_WFR,22333010,I,450003,1450003,Region,Central,0,,0,1,PRWTFRWWFR,TRDHS1993450003,1993,DHS,,,,,1
TUR,North,411889,Total wanted fertility rate,2,1,TR,Turkey,1993,TR1993DHS,PR_WTFR_W_WFR,22333010,I,450004,1450004,Region,North,0,,0,1,PRWTFRWWFR,TRDHS1993450004,1993,DHS,,,,,1
TUR,East,397673,Total wanted fertility rate,2,1,TR,Turkey,1993,TR1993DHS,PR_WTFR_W_WFR,22333010,I,450005,1450005,Region,East,0,,0,1,PRWTFRWWFR,TRDHS1993450005,1993,DHS,,,,,1
TUR,West,2112907,Age specific fertility rate: 15-19,52,0,TR,Turkey,1998,TR1998DHS,FE_FRTR_W_A15,11763010,I,450001,1450001,Region,West,0,,0,1,FEFRTRWA15,TRDHS1998450001,1998,DHS,,,,,1
TUR,South,2112862,Age specific fertility rate: 15-19,58,0,TR,Turkey,1998,TR1998DHS,FE_FRTR_W_A15,11763010,I,450002,1450002,Region,South,0,,0,1,FEFRTRWA15,TRDHS1998450002,1998,DHS,,,,,1
TUR,Central,2112899,Age specific fertility rate: 15-19,63,0,TR,Turkey,1998,TR1998DHS,FE_FRTR_W_A15,11763010,I,450003,1450003,Region,Central,0,,0,1,FEFRTRWA15,TRDHS1998450003,1998,DHS,,,,,1
TUR,North,2105209,Age specific fertility rate: 15-19,46,0,TR,Turkey,1998,TR1998DHS,FE_FRTR_W_A15,11763010,I,450004,1450004,Region,North,0,,0,1,FEFRTRWA15,TRDHS1998450004,1998,DHS,,,,,1
TUR,East,2105216,Age specific fertility rate: 15-19,74,0,TR,Turkey,1998,TR1998DHS,FE_FRTR_W_A15,11763010,I,450005,1450005,Region,East,0,,0,1,FEFRTRWA15,TRDHS1998450005,1998,DHS,,,,,1
TUR,West,2112864,Age specific fertility rate: 20-24,124,0,TR,Turkey,1998,TR1998DHS,FE_FRTR_W_A20,11763020,I,450001,1450001,Region,West,0,,0,1,FEFRTRWA20,TRDHS1998450001,1998,DHS,,,,,1
TUR,South,2112888,Age specific fertility rate: 20-24,150,0,TR,Turkey,1998,TR1998DHS,FE_FRTR_W_A20,11763020,I,450002,1450002,Region,South,0,,0,1,FEFRTRWA20,TRDHS1998450002,1998,DHS,,,,,1
TUR,Central,2112897,Age specific fertility rate: 20-24,180,0,TR,Turkey,1998,TR1998DHS,FE_FRTR_W_A20,11763020,I,450003,1450003,Region,Central,0,,0,1,FEFRTRWA20,TRDHS1998450003,1998,DHS,,,,,1
TUR,North,2105212,Age specific fertility rate: 20-24,207,0,TR,Turkey,1998,TR1998DHS,FE_FRTR_W_A20,11763020,I,450004,1450004,Region,North,0,,0,1,FEFRTRWA20,TRDHS1998450004,1998,DHS,,,,,1
TUR,East,2105217,Age specific fertility rate: 20-24,217,0,TR,Turkey,1998,TR1998DHS,FE_FRTR_W_A20,11763020,I,450005,1450005,Region,East,0,,0,1,FEFRTRWA20,TRDHS1998450005,1998,DHS,,,,,1
TUR,West,2112866,Age specific fertility rate: 25-29,119,0,TR,Turkey,1998,TR1998DHS,FE_FRTR_W_A25,11763030,I,450001,1450001,Region,West,0,,0,1,FEFRTRWA25,TRDHS1998450001,1998,DHS,,,,,1
TUR,South,2112889,Age specific fertility rate: 25-29,145,0,TR,Turkey,1998,TR1998DHS,FE_FRTR_W_A25,11763030,I,450002,1450002,Region,South,0,,0,1,FEFRTRWA25,TRDHS1998450002,1998,DHS,,,,,1
TUR,Central,2112902,Age specific fertility rate: 25-29,162,0,TR,Turkey,1998,TR1998DHS,FE_FRTR_W_A25,11763030,I,450003,1450003,Region,Central,0,,0,1,FEFRTRWA25,TRDHS1998450003,1998,DHS,,,,,1
TUR,North,2105213,Age specific fertility rate: 25-29,155,0,TR,Turkey,1998,TR1998DHS,FE_FRTR_W_A25,11763030,I,450004,1450004,Region,North,0,,0,1,FEFRTRWA25,TRDHS1998450004,1998,DHS,,,,,1
